biotechnology,generalizations,economicsector,0
aircraft_manufacturing,generalizations,economicsector,0
aerospace,generalizations,economicsector,0
boeing,companyeconomicsector,aerospace,1
bmw,companyeconomicsector,automobile,0
biotechnology,generalizations,academicfield,0
rolls_royce,companyeconomicsector,engineering,1
boeing,companyeconomicsector,aerospace,0
audi,companyeconomicsector,auto,1
volkswagen,acquired,audi,1
audi,companyeconomicsector,automobile,1
volkswagen,companyeconomicsector,automobile,1
mercury,companyeconomicsector,insurance,0
mcdonnell_douglas,companyeconomicsector,aerospace,1
hp,companyeconomicsector,computer,1
gateway_2000001,acquired,amiga,1
amiga,companyeconomicsector,computer,1
dell_inc,companyeconomicsector,computer,1
emachines,companyeconomicsector,computer,0
gateway_2000001,companyeconomicsector,computer,1
saturn,companyeconomicsector,auto,0
computer,generalizations,economicsector,1
gm,acquired,saturn,1
automobile,generalizations,economicsector,1
kathleen_mcmichael,generalizations,female,0
michael_powell,mutualproxyfor,fcc,1
loureiro,generalizations,wine,1
gemella_morbillorum,haswikipediaurl,http://en.wikipedia.org/wiki/Gemella%20morbillorum,0
six_central_american_countries,generalizations,country,0
artavasdes_ii_of_armenia,haswikipediaurl,http://en.wikipedia.org/wiki/Artavasdes%20II%20of%20Armenia,1
frameless_shower_door,generalizations,buildingfeature,1
larry_burright,haswikipediaurl,http://en.wikipedia.org/wiki/Larry%20Burright,0
huntington_connecticut,generalizations,geopoliticallocation,0
tom_glavine,generalizations,coach,0
al_unser,personhasparent,del_unser,1
jazzamor,haswikipediaurl,http://en.wikipedia.org/wiki/Jazzamor,0
f_16_afterburner_hot_sauce,generalizations,condiment,0
five_miles,generalizations,parlourgame,0
the_cuff_links,haswikipediaurl,http://en.wikipedia.org/wiki/The%20Cuff%20Links,0
upper_imnaha_river,generalizations,skiarea,1
wpa_artist,generalizations,jobposition,0
business_communication,generalizations,academicfield,1
esty_chaney,haswikipediaurl,http://en.wikipedia.org/wiki/Esty%20Chaney,0
port_of_arica,generalizations,port,1
mendota_heights,generalizations,city,0
battle_of_fort_macon,generalizations,militaryconflict,0
samarium_oxide,generalizations,chemical,1
walton_park_hotel,generalizations,hotel,1
day_people,generalizations,person,0
kansas_mitsubishi,generalizations,automobilemaker,1
leena_farm,generalizations,farm,0
maria_pitillo,generalizations,personcanada,1
tuli_lodge_airport,generalizations,airport,0
kevin_costner,generalizations,celebrity,0
south_bend_airport,generalizations,building,0
insects,agentcompeteswithagent,lady_beetles,1
internet_cookie,generalizations,bakedgood,0
god_is_not_great,generalizations,book,0
rolls_royce_car,generalizations,vehicle,0
matt_livoy,generalizations,coach,0
scotland_architecture,generalizations,academicfield,1
route_373,generalizations,highway,0
use_privacy_policy_resources,generalizations,ceo,0
central_togo_language,generalizations,language,0
pain_narcotics,generalizations,product,0
associated_estates_realty_corp,generalizations,biotechcompany,0
trevor_ariza,athleteledsportsteam,hornets_basketball_livestream_29_02_2012,1
burnt_shanty_creek,generalizations,river,1
prochlorococcaceae,generalizations,archaea,1
ppd_nos,generalizations,disease,1
wcmu,generalizations,televisionstation,1
tiago_monteiro,generalizations,person,1
mr_justice_arnold,generalizations,governmentorganization,1
uranium_,generalizations,chemical,0
adverse_possession,generalizations,crimeorcharge,0
john_hadler,generalizations,professor,0
swan_point_police_department,generalizations,governmentorganization,1
schiphol_airport,airportincity,amsterdam,1
midweek_magazi,generalizations,company,0
series,sportsgameteam,avs,0
dofasco_gallery,generalizations,museum,0
boots,clothingtogowithclothing,print_skirt,1
dante_alighieri,agentcreated,inferno,1
pascack_road,generalizations,highway,0
ivan_monighetti,generalizations,musicartist,1
olga_elnikova,generalizations,model,1
figure_17_12,generalizations,bedroomitem,1
civic_ex_v_tec,generalizations,product,0
samantha_harvey,haswikipediaurl,http://en.wikipedia.org/wiki/Samantha%20Harvey,1
wall,objectlookslikeobject,inch,1
brushing,generalizations,physicalaction,1
billy_crystal_and_meg_ryan,generalizations,actor,0
western_students,generalizations,victim,1
jacksonville_airport,generalizations,port,0
lesli_margherita,generalizations,actor,0
free_cake_recipes,generalizations,recipe,1
population,mutualproxyfor,new,1
composer_award,generalizations,person,0
usage_return,generalizations,ceo,0
acts,proxyfor,new,1
eagle_hospitality_properties_trust_inc,generalizations,biotechcompany,1
fortunate_owner,generalizations,jobposition,0
don_mcbrearty,generalizations,director,1
multiple_people,generalizations,magazine,1
